City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
703,Mahuva,IN,87.21,clear sky,21.0914,71.7622,Hotel Blue Diamond.
705,Lubao,PH,85.71,overcast clouds,14.9167,120.55,Hacienda Gracia
709,Dabakala,CI,88.77,overcast clouds,8.3667,-4.4333,Hôtel Campement
710,Murici,BR,82.69,broken clouds,-9.3067,-35.9433,Espaço WA Abnoan
714,Asuncion Nochixtlan,MX,79.25,broken clouds,17.4667,-97.2333,Hotel Kristal
716,Takoradi,GH,82.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
720,Chake Chake,TZ,78.42,light rain,-5.2459,39.7666,Hotel Archipelago
723,Algeciras,ES,78.48,clear sky,36.1333,-5.4505,AC Hotel by Marriott Algeciras
726,Namuac,PH,78.33,overcast clouds,18.6109,121.1657,Mlin Hotel
734,Waingapu,ID,78.51,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
737,Bataipora,BR,88.48,scattered clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
741,Mitsamiouli,KM,80.89,broken clouds,-11.3847,43.2844,Foyer ADM
745,Wilmington Island,US,81.09,scattered clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
748,Amahai,ID,78.98,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
750,Tamandare,BR,82.11,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
