City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
728,Komsomolskoye,RU,55.2567,47.5461,38.28,59,43,6.6,scattered clouds
729,Andilamena,MG,-17.0167,48.5833,65.71,97,47,4.16,scattered clouds
730,Sembe,CG,1.6481,14.5806,76.5,78,73,2.93,broken clouds
731,Kangavar,IR,34.5043,47.9653,53.04,81,60,6.33,light rain
732,Manzil Salim,TN,35.8567,8.4765,59.04,62,54,12.93,broken clouds
733,Sosnovo-Ozerskoye,RU,52.5249,111.5418,48.09,60,99,5.73,overcast clouds
734,Waingapu,ID,-9.6567,120.2641,78.51,85,56,9.37,broken clouds
735,Waipawa,NZ,-41.4122,175.5153,56.68,79,72,12.06,broken clouds
736,Bat Yam,IL,32.0231,34.7503,68.05,78,20,6.91,few clouds
737,Bataipora,BR,-22.2953,-53.2711,88.48,40,37,6.11,scattered clouds
738,Kurilsk,RU,45.2333,147.8833,34.32,89,100,12.06,snow
739,Ust-Nera,RU,64.5667,143.2,20.1,97,83,4.72,broken clouds
740,Kibaya,TZ,-5.3,36.5667,58.15,97,45,4.36,scattered clouds
741,Mitsamiouli,KM,-11.3847,43.2844,80.89,74,75,9.22,broken clouds
742,Smithers,CA,54.7804,-127.1743,47.1,66,100,4.09,overcast clouds
743,Kyrksaeterora,NO,63.2906,9.0891,44.28,79,100,12.91,overcast clouds
744,La Plata,AR,-34.9215,-57.9545,64.02,40,1,8.1,clear sky
745,Wilmington Island,US,32.0036,-80.9737,81.09,67,37,11.01,scattered clouds
746,Churapcha,RU,62.0025,132.4325,30.83,89,41,11.34,scattered clouds
747,Hokitika,NZ,-42.7167,170.9667,59.94,87,100,2.77,overcast clouds
748,Amahai,ID,-3.3333,128.9167,78.98,86,90,3.2,overcast clouds
749,Tucuman,AR,-26.8241,-65.2226,66.36,63,89,4.45,overcast clouds
750,Tamandare,BR,-8.7597,-35.1047,82.11,72,36,10.45,scattered clouds
751,Puruaran,MX,19.1,-101.5333,90.14,10,92,4.99,overcast clouds
